DP,DPNOM,DPMP,MPIO,AÑO,ÁREA GEOGRÁFICA,Total
05,Antioquia,05036,Angelópolis,2026,Centros Poblados y Rural Disperso,3486
05,Antioquia,05036,Angelópolis,2026,Total,6285
05,Antioquia,05036,Angelópolis,2027,Cabecera Municipal,2830
05,Antioquia,05036,Angelópolis,2027,Centros Poblados y Rural Disperso,3507
05,Antioquia,05036,Angelópolis,2027,Total,6337
05,Antioquia,05036,Angelópolis,2028,Cabecera Municipal,2876
05,Antioquia,05036,Angelópolis,2028,Centros Poblados y Rural Disperso,3523
05,Antioquia,05036,Angelópolis,2028,Total,6399
05,Antioquia,05036,Angelópolis,2029,Cabecera Municipal,2901
05,Antioquia,05036,Angelópolis,2029,Centros Poblados y Rural Disperso,3555
05,Antioquia,05036,Angelópolis,2029,Total,6456
05,Antioquia,05036,Angelópolis,2030,Cabecera Municipal,2942
05,Antioquia,05036,Angelópolis,2030,Centros Poblados y Rural Disperso,3596
05,Antioquia,05036,Angelópolis,2030,Total,6538
05,Antioquia,05036,Angelópolis,2031,Cabecera Municipal,2962
05,Antioquia,05036,Angelópolis,2031,Centros Poblados y Rural Disperso,3633
05,Antioquia,05036,Angelópolis,2031,Total,6595
05,Antioquia,05036,Angelópolis,2032,Cabecera Municipal,2997
